,"Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Percentage change, Corresponding period previous year, Percent"
Jan 1988,1.65,63.5,0.89
Feb 1988,1.7,63.64,1
Mar 1988,1.68,63.64,1
Apr 1988,1.67,63.78,1
May 1988,1.69,63.92,1.22
Jun 1988,1.76,63.99,1.22
Jul 1988,1.84,63.99,1.22
Aug 1988,1.89,63.92,1.22
Sep 1988,1.87,63.99,1.44
Oct 1988,1.82,64.06,1.44
Nov 1988,1.75,64.27,1.77
Dec 1988,1.76,64.41,1.88
Jan 1989,1.83,64.97,2.31
Feb 1989,1.85,65.18,2.42
Mar 1989,1.87,65.25,2.53
Apr 1989,1.87,65.67,2.96
May 1989,1.95,65.74,2.84
Jun 1989,1.98,65.81,2.84
Jul 1989,1.89,65.74,2.73
Aug 1989,1.93,65.74,2.84
Sep 1989,1.95,65.81,2.84
Oct 1989,1.87,66.02,3.06
Nov 1989,1.83,66.16,2.94
Dec 1989,1.74,66.37,3.04
Jan 1990,1.69,66.72,2.69
Feb 1990,1.68,67,2.79
Mar 1990,1.7,67,2.68
Apr 1990,1.69,67.14,2.24
May 1990,1.66,67.28,2.34
Jun 1990,1.68,67.35,2.34
Jul 1990,1.64,67.35,2.45
Aug 1990,1.57,67.56,2.77
Sep 1990,1.57,67.77,2.98
Oct 1990,1.52,68.26,3.39
Nov 1990,1.49,68.12,2.96
Dec 1990,1.49,68.19,2.74
Jan 1991,1.51,68.61,2.83
Feb 1991,1.48,68.91,2.85
Mar 1991,1.6,68.91,2.85
Apr 1991,1.7,69.21,3.08
May 1991,1.72,69.41,3.16
Jun 1991,1.78,69.81,3.65
Jul 1991,1.79,70.61,4.84
Aug 1991,1.75,70.61,4.51
Sep 1991,1.7,70.61,4.19
Oct 1991,1.69,71.71,5.05
Nov 1991,1.63,72.01,5.71
Dec 1991,1.57,72.11,5.75
Jan 1992,1.58,72.51,5.69
Feb 1992,1.62,72.91,5.81
Mar 1992,1.66,73.21,6.24
Apr 1992,1.65,73.51,6.21
May 1992,1.62,73.71,6.2
Jun 1992,1.57,73.91,5.87
Jul 1992,1.49,74.11,4.96
Aug 1992,1.45,74.11,4.96
Sep 1992,1.45,74.11,4.96
Oct 1992,1.48,74.11,3.35
Nov 1992,1.59,74.41,3.33
Dec 1992,1.58,74.51,3.33
Jan 1993,1.62,75.81,4.55
Feb 1993,1.64,76.41,4.8
Mar 1993,1.65,76.61,4.64
Apr 1993,1.6,76.81,4.49
May 1993,1.61,76.91,4.34
Jun 1993,1.65,77.11,4.33
Jul 1993,1.71,77.51,4.59
Aug 1993,1.7,77.51,4.59
Sep 1993,1.62,77.41,4.45
Oct 1993,1.64,77.41,4.45
Nov 1993,1.7,77.51,4.17
Dec 1993,1.71,77.71,4.3
